access,granularity,month,project,timestamp,views,year
desktop,monthly,08,en.wikipedia,2015080100,4332482183,2015
desktop,monthly,09,en.wikipedia,2015090100,4485491704,2015
desktop,monthly,10,en.wikipedia,2015100100,4477532755,2015
desktop,monthly,11,en.wikipedia,2015110100,4287720220,2015
desktop,monthly,12,en.wikipedia,2015120100,4100012037,2015
desktop,monthly,01,en.wikipedia,2016010100,4436179457,2016
desktop,monthly,02,en.wikipedia,2016020100,4250997185,2016
desktop,monthly,03,en.wikipedia,2016030100,4286590426,2016
desktop,monthly,04,en.wikipedia,2016040100,4149383857,2016
desktop,monthly,05,en.wikipedia,2016050100,4191778094,2016
desktop,monthly,06,en.wikipedia,2016060100,3888839711,2016
desktop,monthly,07,en.wikipedia,2016070100,4337865827,2016
desktop,monthly,08,en.wikipedia,2016080100,4695046216,2016
desktop,monthly,09,en.wikipedia,2016090100,4135006498,2016
desktop,monthly,10,en.wikipedia,2016100100,4361737690,2016
desktop,monthly,11,en.wikipedia,2016110100,4392068236,2016
desktop,monthly,12,en.wikipedia,2016120100,4209608578,2016
desktop,monthly,01,en.wikipedia,2017010100,4521980398,2017
desktop,monthly,02,en.wikipedia,2017020100,4026702163,2017
desktop,monthly,03,en.wikipedia,2017030100,4319971902,2017
desktop,monthly,04,en.wikipedia,2017040100,3951456992,2017
desktop,monthly,05,en.wikipedia,2017050100,4187870579,2017
desktop,monthly,06,en.wikipedia,2017060100,3604550997,2017
desktop,monthly,07,en.wikipedia,2017070100,3565444544,2017
desktop,monthly,08,en.wikipedia,2017080100,3575572313,2017
desktop,monthly,09,en.wikipedia,2017090100,3547447892,2017
desktop,monthly,10,en.wikipedia,2017100100,3907651639,2017
desktop,monthly,11,en.wikipedia,2017110100,3816060923,2017
desktop,monthly,12,en.wikipedia,2017120100,3640391096,2017
desktop,monthly,01,en.wikipedia,2018010100,4111833689,2018
desktop,monthly,02,en.wikipedia,2018020100,3634653694,2018
desktop,monthly,03,en.wikipedia,2018030100,3965271925,2018
desktop,monthly,04,en.wikipedia,2018040100,3762955419,2018
desktop,monthly,05,en.wikipedia,2018050100,3675652396,2018
desktop,monthly,06,en.wikipedia,2018060100,3278649434,2018
desktop,monthly,07,en.wikipedia,2018070100,3457051589,2018
mobile-app,monthly,08,en.wikipedia,2015080100,109669149,2015
mobile-app,monthly,09,en.wikipedia,2015090100,96221684,2015
mobile-app,monthly,10,en.wikipedia,2015100100,94523777,2015
mobile-app,monthly,11,en.wikipedia,2015110100,94353925,2015
mobile-app,monthly,12,en.wikipedia,2015120100,99438956,2015
mobile-app,monthly,01,en.wikipedia,2016010100,106432767,2016
mobile-app,monthly,02,en.wikipedia,2016020100,92414130,2016
mobile-app,monthly,03,en.wikipedia,2016030100,97899074,2016
mobile-app,monthly,04,en.wikipedia,2016040100,81719003,2016
mobile-app,monthly,05,en.wikipedia,2016050100,98738513,2016
mobile-app,monthly,06,en.wikipedia,2016060100,96908466,2016
mobile-app,monthly,07,en.wikipedia,2016070100,101398640,2016
mobile-app,monthly,08,en.wikipedia,2016080100,97172509,2016
mobile-app,monthly,09,en.wikipedia,2016090100,83037939,2016
mobile-app,monthly,10,en.wikipedia,2016100100,67174886,2016
mobile-app,monthly,11,en.wikipedia,2016110100,83623769,2016
mobile-app,monthly,12,en.wikipedia,2016120100,128976033,2016
mobile-app,monthly,01,en.wikipedia,2017010100,211813191,2017
mobile-app,monthly,02,en.wikipedia,2017020100,189059134,2017
mobile-app,monthly,03,en.wikipedia,2017030100,184098693,2017
mobile-app,monthly,04,en.wikipedia,2017040100,115051969,2017
mobile-app,monthly,05,en.wikipedia,2017050100,118805669,2017
mobile-app,monthly,06,en.wikipedia,2017060100,115285847,2017
mobile-app,monthly,07,en.wikipedia,2017070100,124118219,2017
mobile-app,monthly,08,en.wikipedia,2017080100,119171796,2017
mobile-app,monthly,09,en.wikipedia,2017090100,114615188,2017
mobile-app,monthly,10,en.wikipedia,2017100100,115580485,2017
mobile-app,monthly,11,en.wikipedia,2017110100,112953288,2017
mobile-app,monthly,12,en.wikipedia,2017120100,121007315,2017
mobile-app,monthly,01,en.wikipedia,2018010100,129767843,2018
mobile-app,monthly,02,en.wikipedia,2018020100,112583110,2018
mobile-app,monthly,03,en.wikipedia,2018030100,121792838,2018
mobile-app,monthly,04,en.wikipedia,2018040100,119494176,2018
mobile-app,monthly,05,en.wikipedia,2018050100,127894954,2018
mobile-app,monthly,06,en.wikipedia,2018060100,124837607,2018
mobile-app,monthly,07,en.wikipedia,2018070100,134236905,2018
mobile-web,monthly,08,en.wikipedia,2015080100,3192663889,2015
mobile-web,monthly,09,en.wikipedia,2015090100,3073981649,2015
mobile-web,monthly,10,en.wikipedia,2015100100,3173975355,2015
mobile-web,monthly,11,en.wikipedia,2015110100,3142247145,2015
mobile-web,monthly,12,en.wikipedia,2015120100,3276836351,2015
mobile-web,monthly,01,en.wikipedia,2016010100,3611404079,2016
mobile-web,monthly,02,en.wikipedia,2016020100,3242448142,2016
mobile-web,monthly,03,en.wikipedia,2016030100,3288785117,2016
mobile-web,monthly,04,en.wikipedia,2016040100,3177044999,2016
mobile-web,monthly,05,en.wikipedia,2016050100,3296294723,2016
mobile-web,monthly,06,en.wikipedia,2016060100,3257882479,2016
mobile-web,monthly,07,en.wikipedia,2016070100,3395175122,2016
mobile-web,monthly,08,en.wikipedia,2016080100,3418646794,2016
mobile-web,monthly,09,en.wikipedia,2016090100,3310247842,2016
mobile-web,monthly,10,en.wikipedia,2016100100,3442109005,2016
mobile-web,monthly,11,en.wikipedia,2016110100,3507421156,2016
mobile-web,monthly,12,en.wikipedia,2016120100,3647567822,2016
mobile-web,monthly,01,en.wikipedia,2017010100,4020148351,2017
mobile-web,monthly,02,en.wikipedia,2017020100,3522702265,2017
mobile-web,monthly,03,en.wikipedia,2017030100,3719395296,2017
mobile-web,monthly,04,en.wikipedia,2017040100,3524571150,2017
mobile-web,monthly,05,en.wikipedia,2017050100,3567882051,2017
mobile-web,monthly,06,en.wikipedia,2017060100,3404097346,2017
mobile-web,monthly,07,en.wikipedia,2017070100,3600941034,2017
mobile-web,monthly,08,en.wikipedia,2017080100,3502234506,2017
mobile-web,monthly,09,en.wikipedia,2017090100,3416989181,2017
mobile-web,monthly,10,en.wikipedia,2017100100,3557540057,2017
mobile-web,monthly,11,en.wikipedia,2017110100,3557058773,2017
mobile-web,monthly,12,en.wikipedia,2017120100,3709128989,2017
mobile-web,monthly,01,en.wikipedia,2018010100,4129514528,2018
mobile-web,monthly,02,en.wikipedia,2018020100,3613097618,2018
mobile-web,monthly,03,en.wikipedia,2018030100,3928081419,2018
mobile-web,monthly,04,en.wikipedia,2018040100,3807903935,2018
mobile-web,monthly,05,en.wikipedia,2018050100,3961293568,2018
mobile-web,monthly,06,en.wikipedia,2018060100,3852929134,2018
mobile-web,monthly,07,en.wikipedia,2018070100,4131876847,2018
desktop-site,monthly,01,en.wikipedia,2008010100,4930902570,2008
desktop-site,monthly,02,en.wikipedia,2008020100,4818393763,2008
desktop-site,monthly,03,en.wikipedia,2008030100,4955405809,2008
desktop-site,monthly,04,en.wikipedia,2008040100,5159162183,2008
desktop-site,monthly,05,en.wikipedia,2008050100,5584691092,2008
desktop-site,monthly,06,en.wikipedia,2008060100,5712104279,2008
desktop-site,monthly,07,en.wikipedia,2008070100,5306302874,2008
desktop-site,monthly,08,en.wikipedia,2008080100,5140155519,2008
desktop-site,monthly,09,en.wikipedia,2008090100,5479533823,2008
desktop-site,monthly,10,en.wikipedia,2008100100,5679440782,2008
